id,avgprice,latitude,longitude,avgscore,comments,historyCouponCount
115917786,1727.0,31.1977,121.4079,5.0,2378,171606
194331175,5560.0,31.2292,121.4703,5.0,248,60694
533665684,8878.0,31.2394,121.5305,5.0,779,37710
191774958,777.0,30.9328,121.4711,5.0,1609,38616
671641058,1686.0,31.1678,121.4244,5.0,417,36280
1634032640,642.0,30.9161,121.4875,5.0,1575,33112
161818011,10200.0,31.23,121.4945,5.0,215,27914
71200246,12798.0,31.1882,121.4169,5.0,543,26214
901246850,1532.0,31.236,121.3201,5.0,472,23856
187545223,2705.0,31.2701,121.3899,5.0,341,19728
588297090,5800.0,31.2394,121.4866,5.0,214,19674
4777596,6415.0,31.1922,121.4466,5.0,125,20960
179178744,5741.0,30.9121,121.4912,5.0,553,16432
77934700,6470.0,31.2147,121.4537,5.0,42,28022
179273384,233.0,30.724,121.3364,5.0,404,15622
64405982,14942.0,31.2444,121.438,5.0,199,16064
164441212,748.0,31.052,121.2451,5.0,702,12878
81117928,25112.0,31.2075,121.486,5.0,196,14880
1755747201,1952.0,31.1971,121.4695,5.0,121,14748
625097231,838.0,31.2328,121.4656,5.0,285,10716
1433194792,8769.0,31.1977,121.4044,5.0,58,12184
194813000,1533.0,31.2389,121.5508,5.0,336,8536
179459821,1339.0,31.2083,121.4325,5.0,189,8316
99211297,1073.0,31.1512,121.2298,5.0,198,9020
186384675,1465.0,31.2038,121.4228,5.0,52,9946
186384688,6638.0,31.2292,121.5173,5.0,33,9650
1688839924,2455.0,31.2025,121.4741,5.0,116,6196
187148757,5705.0,31.2577,121.4212,5.0,55,6816
51329820,2383.0,31.372,121.2519,5.0,120,5284
164666745,298.0,31.1828,121.698,5.0,146,4736
1969307401,1379.0,31.2364,121.5094,5.0,112,4452
1617955770,851.0,31.2129,121.4209,5.0,24,4276
115917786,1727.0,31.1977,121.4079,5.0,2378,171606
194331175,5560.0,31.2292,121.4703,5.0,248,60694
533665684,8878.0,31.2394,121.5305,5.0,779,37710
191774958,777.0,30.9328,121.4711,5.0,1609,38616
671641058,1686.0,31.1678,121.4244,5.0,417,36280
1634032640,642.0,30.9161,121.4875,5.0,1575,33112
161818011,10200.0,31.23,121.4945,5.0,215,27914
71200246,12798.0,31.1882,121.4169,5.0,543,26214
901246850,1532.0,31.236,121.3201,5.0,472,23856
187545223,2705.0,31.2701,121.3899,5.0,341,19728
588297090,5800.0,31.2394,121.4866,5.0,214,19674
4777596,6415.0,31.1922,121.4466,5.0,125,20960
179178744,5741.0,30.9121,121.4912,5.0,553,16432
77934700,6470.0,31.2147,121.4537,5.0,42,28022
179273384,233.0,30.724,121.3364,5.0,404,15622
64405982,14942.0,31.2444,121.438,5.0,199,16064
164441212,748.0,31.052,121.2451,5.0,702,12878
81117928,25112.0,31.2075,121.486,5.0,196,14880
1755747201,1952.0,31.1971,121.4695,5.0,121,14748
625097231,838.0,31.2328,121.4656,5.0,285,10716
1433194792,8769.0,31.1977,121.4044,5.0,58,12184
194813000,1533.0,31.2389,121.5508,5.0,336,8536
179459821,1339.0,31.2083,121.4325,5.0,189,8316
99211297,1073.0,31.1512,121.2298,5.0,198,9020
186384675,1465.0,31.2038,121.4228,5.0,52,9946
186384688,6638.0,31.2292,121.5173,5.0,33,9650
1688839924,2455.0,31.2025,121.4741,5.0,116,6196
187148757,5705.0,31.2577,121.4212,5.0,55,6816
51329820,2383.0,31.372,121.2519,5.0,120,5284
164666745,298.0,31.1828,121.698,5.0,146,4736
1969307401,1379.0,31.2364,121.5094,5.0,112,4452
1617955770,851.0,31.2129,121.4209,5.0,24,4276
115917786,1727.0,31.1977,121.4079,5.0,2378,171606
194331175,5560.0,31.2292,121.4703,5.0,248,60694
533665684,8878.0,31.2394,121.5305,5.0,779,37710
191774958,777.0,30.9328,121.4711,5.0,1609,38616
671641058,1686.0,31.1678,121.4244,5.0,417,36280
1634032640,642.0,30.9161,121.4875,5.0,1575,33112
161818011,10200.0,31.23,121.4945,5.0,215,27914
71200246,12798.0,31.1882,121.4169,5.0,543,26214
901246850,1532.0,31.236,121.3201,5.0,472,23856
187545223,2705.0,31.2701,121.3899,5.0,341,19728
588297090,5800.0,31.2394,121.4866,5.0,214,19674
4777596,6415.0,31.1922,121.4466,5.0,125,20960
179178744,5741.0,30.9121,121.4912,5.0,553,16432
77934700,6470.0,31.2147,121.4537,5.0,42,28022
179273384,233.0,30.724,121.3364,5.0,404,15622
64405982,14942.0,31.2444,121.438,5.0,199,16064
164441212,748.0,31.052,121.2451,5.0,702,12878
81117928,25112.0,31.2075,121.486,5.0,196,14880
1755747201,1952.0,31.1971,121.4695,5.0,121,14748
625097231,838.0,31.2328,121.4656,5.0,285,10716
1433194792,8769.0,31.1977,121.4044,5.0,58,12184
194813000,1533.0,31.2389,121.5508,5.0,336,8536
179459821,1339.0,31.2083,121.4325,5.0,189,8316
99211297,1073.0,31.1512,121.2298,5.0,198,9020
186384675,1465.0,31.2038,121.4228,5.0,52,9946
186384688,6638.0,31.2292,121.5173,5.0,33,9650
1688839924,2455.0,31.2025,121.4741,5.0,116,6196
187148757,5705.0,31.2577,121.4212,5.0,55,6816
51329820,2383.0,31.372,121.2519,5.0,120,5284
164666745,298.0,31.1828,121.698,5.0,146,4736
1969307401,1379.0,31.2364,121.5094,5.0,112,4452
1617955770,851.0,31.2129,121.4209,5.0,24,4276
115917786,1727.0,31.1977,121.4079,5.0,2378,171606
194331175,5560.0,31.2292,121.4703,5.0,248,60694
533665684,8878.0,31.2394,121.5305,5.0,779,37710
191774958,777.0,30.9328,121.4711,5.0,1609,38616
671641058,1686.0,31.1678,121.4244,5.0,417,36280
1634032640,642.0,30.9161,121.4875,5.0,1575,33112
161818011,10200.0,31.23,121.4945,5.0,215,27914
71200246,12798.0,31.1882,121.4169,5.0,543,26214
901246850,1532.0,31.236,121.3201,5.0,472,23856
187545223,2705.0,31.2701,121.3899,5.0,341,19728
588297090,5800.0,31.2394,121.4866,5.0,214,19674
4777596,6415.0,31.1922,121.4466,5.0,125,20960
179178744,5741.0,30.9121,121.4912,5.0,553,16432
77934700,6470.0,31.2147,121.4537,5.0,42,28022
179273384,233.0,30.724,121.3364,5.0,404,15622
64405982,14942.0,31.2444,121.438,5.0,199,16064
164441212,748.0,31.052,121.2451,5.0,702,12878
81117928,25112.0,31.2075,121.486,5.0,196,14880
1755747201,1952.0,31.1971,121.4695,5.0,121,14748
625097231,838.0,31.2328,121.4656,5.0,285,10716
1433194792,8769.0,31.1977,121.4044,5.0,58,12184
194813000,1533.0,31.2389,121.5508,5.0,336,8536
179459821,1339.0,31.2083,121.4325,5.0,189,8316
99211297,1073.0,31.1512,121.2298,5.0,198,9020
186384675,1465.0,31.2038,121.4228,5.0,52,9946
186384688,6638.0,31.2292,121.5173,5.0,33,9650
1688839924,2455.0,31.2025,121.4741,5.0,116,6196
187148757,5705.0,31.2577,121.4212,5.0,55,6816
51329820,2383.0,31.372,121.2519,5.0,120,5284
164666745,298.0,31.1828,121.698,5.0,146,4736
1969307401,1379.0,31.2364,121.5094,5.0,112,4452
1617955770,851.0,31.2129,121.4209,5.0,24,4276
115917786,1727.0,31.1977,121.4079,5.0,2378,171606
194331175,5560.0,31.2292,121.4703,5.0,248,60694
533665684,8878.0,31.2394,121.5305,5.0,779,37710
191774958,777.0,30.9328,121.4711,5.0,1609,38616
671641058,1686.0,31.1678,121.4244,5.0,417,36280
1634032640,642.0,30.9161,121.4875,5.0,1575,33112
161818011,10200.0,31.23,121.4945,5.0,215,27914
71200246,12798.0,31.1882,121.4169,5.0,543,26214
901246850,1532.0,31.236,121.3201,5.0,472,23856
187545223,2705.0,31.2701,121.3899,5.0,341,19728
588297090,5800.0,31.2394,121.4866,5.0,214,19674
4777596,6415.0,31.1922,121.4466,5.0,125,20960
179178744,5741.0,30.9121,121.4912,5.0,553,16432
77934700,6470.0,31.2147,121.4537,5.0,42,28022
179273384,233.0,30.724,121.3364,5.0,404,15622
64405982,14942.0,31.2444,121.438,5.0,199,16064
164441212,748.0,31.052,121.2451,5.0,702,12878
81117928,25112.0,31.2075,121.486,5.0,196,14880
1755747201,1952.0,31.1971,121.4695,5.0,121,14748
625097231,838.0,31.2328,121.4656,5.0,285,10716
1433194792,8769.0,31.1977,121.4044,5.0,58,12184
194813000,1533.0,31.2389,121.5508,5.0,336,8536
179459821,1339.0,31.2083,121.4325,5.0,189,8316
99211297,1073.0,31.1512,121.2298,5.0,198,9020
186384675,1465.0,31.2038,121.4228,5.0,52,9946
186384688,6638.0,31.2292,121.5173,5.0,33,9650
1688839924,2455.0,31.2025,121.4741,5.0,116,6196
187148757,5705.0,31.2577,121.4212,5.0,55,6816
51329820,2383.0,31.372,121.2519,5.0,120,5284
164666745,298.0,31.1828,121.698,5.0,146,4736
1969307401,1379.0,31.2364,121.5094,5.0,112,4452
1617955770,851.0,31.2129,121.4209,5.0,24,4276
115917786,1727.0,31.1977,121.4079,5.0,2378,171606
194331175,5560.0,31.2292,121.4703,5.0,248,60694
533665684,8878.0,31.2394,121.5305,5.0,779,37710
191774958,777.0,30.9328,121.4711,5.0,1609,38616
